"FeHab";"Atroph";"es";"ogp";"ml";"Repro";"HabSp";"ReproB";"PC";"avg_fecun";"female_mat";"WQO2";"Temp";"HTOL";"Hab";"be";"Mig";"bls";"pfp";"pfs";"pfsi";"cpt";"cfar";"fsr";"rfs"
"B";"INSV";0.380196039863624;0.245869394177813;0.409782323629688;"PHLI";"EUPAR";"FR";"NOP";"4";"4";"O2IM";"EUTHER";"HTOL";"EURY";4.17689143265963;"RESID";0.641871915999453;0.336675539469946;0.69849931787176;0.178858491540324;3.99773461705034;2.5401305344858;0.258599400246957;0.189087997741038
"WC";"PLAN";0.314380607743023;0.595779837736909;0.355937804656389;"PELA";"RHPAR";"FR";"NOP";"4";"3";"O2IM";"EUTHER";"HTOL";"EURY";3.33283885428988;"LONG-LMA";0.395489566927847;0.254948602497664;0.647390118672905;0.208885864929677;2.62336712113641;2.66229912640138;0.28963902919798;0.134133103847775
"WC";"INSV";0.330129488719797;0.47574665356003;0.301593427264232;"POLY";"LIPAR";"FR";"PROT";"2";"2";"O2TOL";"EUTHER";"HTOL";"LIMNO";2.16705608890934;"RESID";0.498789360903621;0.302746940109684;0.896509285126514;0.250377930849548;2.41549615384615;2.23352506549598;0.395008805658273;0.16661141492873
"WC";"OMNI";0.472083149266186;0.458155401757228;0.472242674127522;"PHYT";"LIPAR";"FR";"PROT";"1";"2";"O2IM";"EUTHER";"HIM";"LIMNO";4.33928169002329;"RESID";0.680182624009882;0.0769558213489805;NA;0.157727189666946;3.08954579264342;1.90180203819683;NA;NA
"WC";"OMNI";0.50812595226003;0.539852082275267;0.427041010665312;"PHLI";"EUPAR";"SIN";"NOP";"3";"4";"O2IM";"EUTHER";"HIM";"RH";3.71425396071097;"POTAD";0.482934643478527;0.160957775410251;NA;0.180488861833077;2.51535921360826;1.93582161102966;NA;NA
"WC";"OMNI";0.443884163988566;0.251096393885052;0.359510662097619;"LITH";"RHPAR";"SIN";"NOP";"3";"2";"O2IM";"EUTHER";"HIM";"RH";4.55902488712158;"RESID";0.55162045425608;0.187118637427645;0.40376219579646;0.163173147776171;2.80899034735433;2.09598781186813;0.132454212454212;0.162626514087561
"WC";"OMNI";0.477387413120061;0.595187089403028;0.278860801675712;"PELA";"EUPAR";"SIN";"NOP";"4";"3";"O2TOL";"EUTHER";"HTOL";"LIMNO";4.23314822186192;"POTAD";0.407879535150144;0.626226929835633;2.02877386517128;0.197242777542696;3.55724041232831;3.18469500296937;0.347968100449648;0.176891329065656
"B";"DETR";0.333333333333333;0.490588235294118;0.360490196078431;"PELA";"EUPAR";"SIN";"NOP";"4";"3";"O2TOL";"EUTHER";"HTOL";"LIMNO";4.42210526315789;"POTAD";0.447368421052632;0.508850877192982;2.58849544692308;0.140881139411251;2.68124743359772;2.35098153291584;0.198564227890637;0.136541564177841
"B";"PISC";0.481078461606238;0.454116921450284;0.782215075553989;"LITH";"EUPAR";"SIN";"NOP";"4";"2";"O2INTOL";"STTHER";"HIM";"EURY";7.6360187325864;"POTAD";0.672802181516391;0.597412413302508;0.604530030133929;0.123253268329038;1.75842869342442;0.764124707035756;0.775086505190311;0.17706509913721
"WC";"PISC";0.271130616974334;0.687818447326233;0.843665179917779;"POLY";"LIPAR";"FR";"PROT";"3";"3";"O2IM";"EUTHER";"HTOL";"LIMNO";2.93456488965993;"RESID";0.477276687297823;0.31818887735699;0.826956522471581;0.172997466217306;2.36740433401526;2.15425839410088;0.301149648399933;0.18025548252359
